model,metric,n,score
Content-Based,precision,10,0.030163934426229513
Content-Based,recall,10,0.017810295453695626
Content-Based,ndcg,10,0.03517748486652064
Collaborative,precision,10,0.030327868852459017
Collaborative,recall,10,0.013954655080861633
Collaborative,ndcg,10,0.0327791135306442
Hybrid-0.2,precision,10,0.03229508196721312
Hybrid-0.2,recall,10,0.015754834921178892
Hybrid-0.2,ndcg,10,0.03665712431778386
Hybrid-0.4,precision,10,0.03934426229508197
Hybrid-0.4,recall,10,0.02090727512984983
Hybrid-0.4,ndcg,10,0.04725728981662782
Hybrid-0.6,precision,10,0.04475409836065574
Hybrid-0.6,recall,10,0.026036774562644544
Hybrid-0.6,ndcg,10,0.05399800491091312
Hybrid-0.8,precision,10,0.037868852459016396
Hybrid-0.8,recall,10,0.023773337268168673
Hybrid-0.8,ndcg,10,0.047305958763034416
